Strategy,Tier,Ticker,Signal Date,rows,pnl,risk,gap_atr,size_mult,any_eodd,all_tgt,all_time,far_time,far_R,entry,R,year,era,path_gap,path_size,exit_pos,rank_2d,rank_5d,rank_10d,rank_21d,extremity,cell,sector,semis,megacap_tech,theme
Overbot Vol Spike,Liquid,CVX,2007-07-12,2,1439.0,900.0,0.09406438363866096,0.2,False,True,False,False,1.999066370696832,2007-07-13,1.5988888888888888,2007,pre,P2,P2,Target,98.8353626257279,99.25768822905621,99.41520467836257,99.41176470588235,99.23000505975725,top,Energy,False,False,False
Overbot Vol Spike,Overflow,FTI,2007-09-14,2,728.0,900.0,0.028325957055116754,0.2,False,False,False,True,0.6814747540210617,2007-09-17,0.8088888888888889,2007,pre,P2,P2,Mixed,97.25765306122449,98.21086261980831,99.23076923076923,99.48353776630084,98.54570566952572,top,Energy,False,False,False
Overbot Vol Spike,Overflow,RDN,2007-09-18,2,404.0,468.75000000000006,0.17742679116348353,0.2,False,False,False,True,0.7727965620592501,2007-09-19,0.8618666666666666,2007,pre,P2,P2,Mixed,99.69008264462809,99.68960165545784,99.84439834024896,97.65258215962442,99.21916619998981,top,Financial Services,False,False,False
Overbot Vol Spike,Overflow,BHP,2007-09-28,2,5478.0,4500.0,0.44222480369984973,1.0,False,False,False,True,1.362452892120648,2007-10-01,1.2173333333333334,2007,pre,P1,P1,Mixed,90.07201646090535,97.06336939721793,99.89669421487604,99.79220779220779,96.70607196630178,top,Basic Materials,False,False,False
Overbot Vol Spike,Overflow,TROW,2007-10-01,2,1138.0,852.2727272727273,0.07723388644758482,0.2,False,False,False,True,1.560886589631957,2007-10-02,1.3352533333333334,2007,pre,P2,P2,Mixed,91.61953727506426,94.23274974253347,95.71502323180175,96.00207684319834,94.39234677314946,top,ETF/Index,False,False,False
Overbot Vol Spike,Overflow,RDN,2007-10-01,2,1364.0,852.2727272727273,8.305472510443266e-06,0.2,False,True,False,False,1.9993885957755348,2007-10-02,1.6004266666666667,2007,pre,P2,P2,Target,98.45758354755783,96.96189495365603,98.91584925141971,100.0,98.5838319381584,top,Financial Services,False,False,False
Overbot Vol Spike,Overflow,GLNG,2007-10-01,2,2397.0,4261.363636363636,0.44334605105490565,1.0,False,False,True,True,0.5629747994485333,2007-10-02,0.562496,2007,pre,P1,P1,Time,98.77358490566037,94.98580889309366,100.0,99.42363112391931,98.29575623066833,top,Energy,False,False,False
Overbot Vol Spike,Overflow,SCCO,2007-10-10,2,5758.0,4464.285714285715,0.6613624610367618,1.0,False,False,False,True,1.482742900286468,2007-10-11,1.2897919999999998,2007,pre,P1,P1,Mixed,98.82172131147541,91.84197024114931,88.37448559670781,93.27470253491981,93.0782199210631,bottom,Basic Materials,False,False,False
Overbot Vol Spike,Overflow,UCB,2008-01-31,2,1434.0,900.0,0.03771314855002284,0.2,False,True,False,False,1.9965764679936344,2008-02-01,1.5933333333333333,2008,pre,P2,P2,Target,98.77966101694915,97.62228260869566,99.93183367416496,100.0,99.08344432495244,top,Financial Services,False,False,False
Overbot Vol Spike,Overflow,MEOH,2008-02-25,2,-255.0,900.0,5.908625221177779e-06,0.2,False,False,True,True,-0.2838398007882873,2008-02-26,-0.2833333333333333,2008,pre,P2,P2,Time,92.42053789731052,94.4662095984329,90.5252822778596,85.38993089832182,90.70049016798121,bottom,Basic Materials,False,False,False
