date,event,detail,ref_period,time_et,source
2022-01-05,fomc_minutes,minutes of 2021-12-15 meeting,,14:00,fed:fomccalendars
2022-01-07,nfp,Employment Situation release,December 2021,08:30,bls:sched2022
2022-01-12,cpi,Consumer Price Index release,December 2021,08:30,bls:sched2022
2022-01-13,ppi,Producer Price Index release,December 2021,08:30,bls:sched2022
2022-01-19,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2022-01-21,opex,monthly options expiration,,16:00,computed
2022-01-26,fomc_decision,January 25-26 Meeting - 2022,,14:00,fed:fomccalendars
2022-02-04,nfp,Employment Situation release,January 2022,08:30,bls:sched2022
2022-02-10,cpi,Consumer Price Index release,January 2022,08:30,bls:sched2022
2022-02-15,ppi,Producer Price Index release,January 2022,08:30,bls:sched2022
2022-02-16,fomc_minutes,minutes of 2022-01-26 meeting,,14:00,fed:fomccalendars
2022-02-16,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2022-02-18,opex,monthly options expiration,,16:00,computed
2022-03-04,nfp,Employment Situation release,February 2022,08:30,bls:sched2022
2022-03-10,cpi,Consumer Price Index release,February 2022,08:30,bls:sched2022
2022-03-15,ppi,Producer Price Index release,February 2022,08:30,bls:sched2022
2022-03-15,vix_expiry,VIX futures/options expiration (SOQ at the open),,09:30,computed
2022-03-16,fomc_decision,March 15-16* Meeting - 2022,,14:00,fed:fomccalendars
2022-03-18,opex,quad witching,,16:00,computed
2022-03-18,quad_witching,quad witching,,16:00,computed
2022-04-01,nfp,Employment Situation release,March 2022,08:30,bls:sched2022
