Strategy,Ticker,Entry Date,Direction,tranches,shares,ledger_entry_px,ledger_exit_px,ledger_R,ATR,stop_atr,entry_side,exit_side,dir,entry_session,live_entry_px,live_entry_qty,live_exit_px,ambiguous,live_R,entry_slip_bps,exit_slip_bps,qty_ratio,diff
SPY QQQ MonFri Reversion,SPY,2026-07-21,Long,1,336.0,744.4624797276089,736.9313407827105,-1.0302502703734557,7.309993198939732,1.0,BUY,SELL,1.0,2026-07-21,744.46,265.0,737.15156,False,-0.9997875238871715,-0.03330896689026711,-2.988327475061229,0.7886904761904762,0.03046274648628422
SPY QQQ MonFri Reversion,QQQ,2026-07-21,Long,1,173.0,703.0235770089286,688.6312043910436,-1.0145670477150939,14.185721261160714,1.0,BUY,SELL,1.0,2026-07-21,703.04,138.0,688.67,False,-1.012990438444877,0.2336051251834454,-0.563372799677693,0.7976878612716763,0.0015766092702169665
Overbot Vol Spike,PARR,2026-07-21,Short,2,993.0,81.95678901672363,77.99023889462873,1.168104105700996,3.3957138061523438,1.0,SELL,BUY,-1.0,2026-07-21,81.96,993.0,77.465661074,False,1.3235328954569634,-0.39178978518859736,-67.26198407181231,1.0,0.1554287897559674
Monday Dip,SMH,2026-07-21,Long,1,74.0,573.8723417009626,580.1699829101562,0.2221331985570623,28.350721086774552,1.0,BUY,SELL,1.0,2026-07-21,573.87,60.0,579.745,False,0.20722576974384802,-0.04080525915630915,7.32514474507133,0.8108108108108109,-0.014907428813214274
Oversold Low Volume,SLV,2026-07-15,Long,2,1734.0,52.217447489956726,51.741742218791956,-0.1793673201070804,2.249999455043248,1.25,BUY,SELL,1.0,2026-07-15,52.13403107113655,2446.0,51.75876599088812,False,-0.13342761640489814,-15.974817389575046,-3.290142806591415,1.4106113033448673,0.045939703702182255
3x Bear ETF Overbot Fade,SQQQ,2026-07-24,Short,1,1558.0,44.748213495527,46.5099983215332,-0.7807842044570604,2.2564291272844588,1.0,SELL,BUY,-1.0,2026-07-24,44.75,1246.0,46.31510014878631,False,-0.6936181286889589,-0.3992348148561439,-41.90457531293054,0.7997432605905006,0.08716607576810154
3x Bear ETF Overbot Fade,SQQQ,2026-07-27,Short,1,1574.0,44.43607139587402,49.439998626708984,-2.2417585131949975,2.2321434020996094,1.0,SELL,BUY,-1.0,2026-07-27,45.7,1259.0,49.448057915,False,-1.6791295359762641,-284.43752213507736,1.6301149908732904,0.7998729351969505,0.5626289772187334
Overbot Vol Spike,WDAY,2026-07-29,Short,2,72.0,166.73499529702323,159.1860365053964,0.8152188565315535,9.26000268118722,1.0,SELL,BUY,-1.0,2026-07-29,166.87999999999997,73.0,159.37583333333333,False,0.8103849345435102,-8.696716770131072,11.922957069824196,1.0138888888888888,-0.004833921988043222
Overbot Vol Spike,PAYX,2026-07-29,Short,2,191.0,122.227737562997,116.57184133979038,1.6020917382784812,3.5303143092564175,1.0,SELL,BUY,-1.0,2026-07-29,122.28000000000002,191.0,116.62460732984293,False,1.601951603948904,-4.275824624183384,4.526478216874335,1.0,-0.00014013432957726835
Overbot Vol Spike,INTU,2026-07-29,Short,2,45.0,324.502135685512,313.5537150791713,0.7436239669866973,14.72285897391183,1.0,SELL,BUY,-1.0,2026-07-29,324.5,46.0,313.73100000000005,False,0.7314476093999187,0.06581422052775593,5.654052632863561,1.0222222222222221,-0.012176357586778597
Overbot Vol Spike,JKHY,2026-07-29,Short,2,135.0,161.51946803501673,153.520612008231,1.5999997130111445,4.999285016741071,1.0,SELL,BUY,-1.0,2026-07-29,161.52,135.0,154.86970000000002,False,1.3302502213276846,-0.032935038094975236,87.87666842395596,1.0,-0.26974949168345996
Overbot Vol Spike,ACN,2026-07-29,Short,2,89.0,170.68178476606096,164.78178073889177,0.7788050554170107,7.575713021414621,1.0,SELL,BUY,-1.0,2026-07-29,170.69,89.0,165.22827758621986,False,0.7209515986602492,-0.48131872714480745,27.096250891692772,1.0,-0.05785345675676157
Overbot Vol Spike,ADBE,2026-07-29,Short,2,58.0,258.67554146902904,249.09536457531559,0.8272467212604868,11.580714634486608,1.0,SELL,BUY,-1.0,2026-07-29,258.63,58.0,249.2284482758621,False,0.8118282870161311,1.760563398086069,5.3426807348824985,1.0,-0.015418434244355739
Overbot Vol Spike,GWRE,2026-07-29,Short,2,82.0,166.1301781790597,154.36131902023473,1.4398644288483051,8.173570905412946,1.0,SELL,BUY,-1.0,2026-07-29,166.13,82.0,154.467256097561,False,1.426884777461873,0.01072526747729975,6.862929003112967,1.0,-0.0129796513864322
Oversold Low Volume,CEVA,2026-07-27,Long,1,361.0,35.57267706734793,31.29060923728943,-1.1017489375006835,3.109285627092634,1.25,BUY,SELL,1.0,2026-07-27,35.57,723.0,31.64201244813278,False,-1.0106469518633765,-0.752562800619021,-112.30309009917767,2.0027700831024933,0.09110198563730698
Overbot Vol Spike,ACN,2026-07-28,Short,2,485.0,162.16200501578194,163.2899932861328,-0.16231562634198415,6.949344090053013,1.0,SELL,BUY,-1.0,2026-07-28,162.16000000000003,485.0,163.52532514371018,False,-0.19646820275663401,0.12364275970338064,14.411897069834067,1.0,-0.03415257641464986
3x Bear ETF Overbot Fade,SQQQ,2026-07-28,Short,1,1556.0,47.52964455740793,44.619998931884766,1.2878601030831305,2.2592860630580356,1.0,SELL,BUY,-1.0,2026-07-28,47.53,1244.0,44.46734375,False,1.3555858640824676,-0.07478334740009866,-34.212278247206065,0.7994858611825193,0.06772576099933714
3x Bear ETF Overbot Fade,TECS,2026-07-29,Short,1,550.0,86.12428610665458,75.30999755859375,1.8812104631143958,5.748572213309152,1.0,SELL,BUY,-1.0,2026-07-29,86.12,440.0,74.88,False,1.955268122748297,0.4976652751893441,-57.09700870182631,0.8,0.07405765963390132
