month_pnl,year_pnl
25621.273345300127,218642.17015213633
25627.64619672299,218697.20153873292
25632.59561920166,218754.30456988316
25633.492607780867,218759.35078760557
25648.817392655787,218759.4279082928
25652.19037818913,218830.39267185755
25671.632668537786,218932.07330759076
25673.698102746694,218943.55253723683
25680.290020397704,218952.91657870155
25680.51801344328,218981.48081881655
25684.784708499952,218990.3459271022
25694.415351322747,219020.2691474898
25697.981992534238,219029.99651376682
25698.479177202495,219043.97312593448
25704.583577326375,219082.09123238482
25713.759154490064,219109.15262986935
25714.27477962628,219178.13304354466
25761.28553002223,219216.98436938
25783.700736045837,219237.57087473356
25800.424286024925,219279.0867192406
25806.66748648032,219322.52316890447
25807.43259688778,219446.6693312611
25834.377990995155,219495.38614201546
25840.120903696326,219497.15475560943
25856.026503017973,219501.13574189792
25857.369150919607,219525.62769572227
25857.51318992886,219552.0680816684
25863.52223968506,219559.63290410384
25864.87876064436,219613.9565130302
25900.487006459927,219620.84479980817
25902.1820449659,219620.99798449446
25903.16137969496,219675.30870016984
25909.351040158952,219678.4452923536
25910.0934891701,219725.67228203168
25918.73463627272,219754.95633482933
25938.03664016723,219847.03696179393
25942.59917449951,219871.2856153761
25958.189508948995,219893.22798161843
25971.661657452558,219929.56525271287
25976.78283429147,219940.49865218578
25980.52415289202,219957.58944230416
25982.631829227725,220003.23886087968
25992.831583091196,220019.7567482335
25994.55897348267,220043.7124992269
26010.499642406186,220055.30683733727
26012.313229220257,220078.70554738387
26027.980182511525,220091.64466874933
26042.33241852685,220146.36322120266
26056.84121063778,220173.86781326355
26057.73596564361,220175.73608669196
26063.325018780597,220183.16435943317
26071.100102322438,220226.34859502316
26073.293129171645,220245.33631552968
26073.779982328404,220254.03120367866
26079.64836512292,220292.68513524535
26097.24953229086,220335.3723892995
26097.4105986527,220346.5998213632
26102.427981512905,220358.33690852785
26108.03340768814,220361.12383131462
26121.610566207346,220416.87239511524
26130.135935715272,220440.89307294574
26148.330571310886,220456.0987675786
26169.8822184971,220552.5249226775
26170.504381656643,220566.05989502152
26171.567946570252,220587.65446754868
26191.29748155386,220652.82307178632
26207.371331334118,220689.06106717233
26207.647035854192,220721.85897684944
26223.62368558131,220733.33955347535
26223.767413241527,220762.52994670183
26226.24061478888,220860.3484127181
26228.51197096277,220957.02010699688
26231.60943600109,221010.12754591877
26236.920471191406,221013.1794574262
26243.13017598223,221023.05249711443
26257.143028599894,221050.55054668023
26262.48738384247,221169.8329835619
26264.213201318496,221188.73114708494
26267.722679359573,221213.36698266442
26269.525796992435,221234.8641224419
26275.973680836814,221287.2311507294
26278.39790473666,221308.94687322213
26278.73222265925,221319.5216455629
