signal_date,ticker,t_clean,tier,close,atr,nearest_type,nearest_level,nearest_date,nearest_source_age_bars,high_age,low_age,high_expired,low_expired,distance_atr,matched_rule,proposed_action,proposed_offset_atr,affected,staged_with,staged_without
2026-05-15,KT,KT,Overflow,19.579999923706055,0.39642865317208426,Low,17.670000076293945,2025-11-20,120.0,59.0,120.0,False,False,4.8180166396373085,default,stage,0.25,False,True,True
2025-02-04,LBTYA,LBTYA,Overflow,11.220000267028809,0.27357135500226704,High,14.130000114440918,2024-11-29,43.0,43.0,171.0,False,False,-10.63707802078911,default,stage,0.25,False,True,True
2025-02-10,LBTYA,LBTYA,Overflow,11.09000015258789,0.2850001198904855,Low,8.155590057373047,2024-05-29,175.0,47.0,175.0,False,False,10.296171441410003,default,stage,0.25,False,True,True
2025-01-08,LBTYK,LBTYK,Overflow,12.850000381469727,0.3221430097307478,High,11.324606895446777,2024-01-29,238.0,238.0,154.0,False,False,4.735143833472895,above_high_4_5,stage,0.75,True,True,True
2025-01-10,LBTYK,LBTYK,Overflow,12.210000038146973,0.3450001989092146,High,11.324606895446777,2024-01-29,239.0,239.0,155.0,False,False,2.5663554557346298,above_high_2_3,stage,0.5,True,True,True
2025-01-13,LBTYK,LBTYK,Overflow,12.09000015258789,0.3542859213692801,High,11.324606895446777,2024-01-29,240.0,240.0,156.0,False,False,2.160382930777898,above_high_2_3,stage,0.5,True,True,True
2025-01-14,LBTYK,LBTYK,Overflow,11.920000076293945,0.3478574071611677,High,11.324606895446777,2024-01-29,241.0,241.0,157.0,False,False,1.7116012727919665,default,stage,0.25,False,True,True
2019-10-21,LDOS,LDOS,Overflow,74.1823501586914,1.2027713230678014,Low,45.77620315551758,2018-12-24,207.0,293.0,207.0,True,False,23.61724665227369,default,stage,0.25,False,True,True
2019-10-22,LDOS,LDOS,Overflow,72.7600326538086,1.160820552280971,Low,45.77620315551758,2018-12-24,208.0,294.0,208.0,True,False,23.245478765230988,default,stage,0.25,False,True,True
2019-10-23,LDOS,LDOS,Overflow,72.71414947509766,1.1490222385951452,Low,45.77620315551758,2018-12-24,209.0,295.0,209.0,True,False,23.44423407550042,default,stage,0.25,False,True,True
2026-04-10,LDOS,LDOS,Overflow,152.3418731689453,4.141088213239398,High,197.1530303955078,2026-01-09,62.0,62.0,284.0,False,True,-10.821106655805488,default,stage,0.25,False,True,True
2025-01-07,LNT,LNT,Overflow,54.686912536621094,0.9084529876708984,Low,53.61910629272461,2024-11-07,40.0,267.0,40.0,True,False,1.175411670596337,default,stage,0.25,False,True,True
2015-07-23,LPX,LPX,Overflow,13.186896324157715,0.34969520568847656,Low,13.371145248413086,2015-04-30,58.0,104.0,58.0,False,False,-0.5268843302916424,default,stage,0.25,False,True,True
2020-09-24,LRN,LRN,Overflow,26.350000381469727,1.9964279447283064,Low,15.859999656677246,2020-02-10,158.0,364.0,158.0,True,False,5.2543848389279395,default,stage,0.25,False,True,True
2020-09-25,LRN,LRN,Overflow,26.510000228881836,1.836428097316197,Low,15.859999656677246,2020-02-10,159.0,365.0,159.0,True,False,5.799301692110229,default,stage,0.25,False,True,True
2021-05-12,LRN,LRN,Overflow,26.649999618530273,1.1035717555454798,Low,20.889999389648438,2021-01-06,87.0,193.0,87.0,False,False,5.219416136683155,default,stage,0.25,False,True,True
2018-02-27,LTBR,LTBR,Overflow,16.68000030517578,1.32857118334089,Low,11.760000228881836,2017-12-04,57.0,186.0,57.0,False,False,3.7032265474265915,default,stage,0.25,False,True,True
2018-02-28,LTBR,LTBR,Overflow,16.200000762939453,1.3028568540300642,Low,11.760000228881836,2017-12-04,58.0,187.0,58.0,False,False,3.407895902242505,default,stage,0.25,False,True,True
2026-06-04,LYB,LYB,Overflow,65.50379180908203,2.2659361703055247,High,81.52714538574219,2026-03-30,46.0,46.0,143.0,False,False,-7.071405535002191,default,stage,0.25,False,True,True
2026-06-05,LYB,LYB,Overflow,63.84096145629883,2.2652857644217357,High,81.52714538574219,2026-03-30,47.0,47.0,144.0,False,False,-7.807484692315695,default,stage,0.25,False,True,True
2026-06-08,LYB,LYB,Overflow,63.77167510986328,2.1564407348632812,High,81.52714538574219,2026-03-30,48.0,48.0,145.0,False,False,-8.233692671829726,default,stage,0.25,False,True,True
2021-07-13,LZB,LZB,Overflow,31.426227569580078,0.983992304120745,Low,32.847660064697266,2021-02-01,112.0,84.0,112.0,False,False,-1.4445565165139387,default,stage,0.25,False,True,True
2016-05-18,MAT,MAT,Overflow,27.958595275878906,0.5206575393676758,Low,17.856151580810547,2015-10-01,158.0,269.0,158.0,True,False,19.403240962067887,default,stage,0.25,False,True,True
2021-10-26,MCHP,MCHP,Overflow,66.89430236816406,1.7457575116838728,High,73.8216323852539,2021-04-05,143.0,143.0,70.0,False,False,-3.968094062736169,default,stage,0.25,False,True,True
